Ticker,Ticker+SA,Nome,Negócios
PETR4,PETR4.SA,Petrobras,46.135.600
ONCO3,ONCO3.SA,Oncoclínicas,38.718.000
BBDC4,BBDC4.SA,Banco Bradesco,30.888.800
SBSP3,SBSP3.SA,Sabesp,28.781.200
CSAN3,CSAN3.SA,Cosan,27.336.000
B3SA3,B3SA3.SA,B3,25.181.700
MGLU3,MGLU3.SA,Magazine Luiza,23.096.000
BHIA3,BHIA3.SA,Casas Bahia,21.659.200
BBAS3,BBAS3.SA,Banco do Brasil,21.651.300
ITUB4,ITUB4.SA,Itaú Unibanco,20.889.700
COGN3,COGN3.SA,Cogna,17.748.000
ABEV3,ABEV3.SA,Ambev,16.656.800
SMFT3,SMFT3.SA,Smart Fit,16.429.700
RCSL4,RCSL4.SA,Recrusul,15.552.300
CPLE3,CPLE3.SA,Copel,15.537.600
ITSA4,ITSA4.SA,Itaúsa,14.850.800
CSNA3,CSNA3.SA,Siderúrgica Nacional,13.927.400
CYRE3,CYRE3.SA,Cyrela,13.043.900
VALE3,VALE3.SA,Vale,13.040.900
CVCB3,CVCB3.SA,CVC,12.963.600
PCAR3,PCAR3.SA,Grupo Pão de Açúcar,12.401.700
CEAB3,CEAB3.SA,C&A,12.209.800
MRVE3,MRVE3.SA,MRV,12.108.200
EQTL3,EQTL3.SA,Equatorial Energia,11.930.100
LREN3,LREN3.SA,Lojas Renner,11.580.500
ENEV3,ENEV3.SA,Eneva,10.765.400
AMBP3,AMBP3.SA,Ambipar,10.727.600
VAMO3,VAMO3.SA,Grupo Vamos,10.629.500
MOTV3,MOTV3.SA,Motiva,9.960.300
CMIG4,CMIG4.SA,Cemig,9.792.100
POMO4,POMO4.SA,Marcopolo,9.775.700
BRKM5,BRKM5.SA,Braskem,9.300.100
LIGT3,LIGT3.SA,Light,9.058.000
DIRR3,DIRR3.SA,Direcional,9.009.500
ANIM3,ANIM3.SA,Ânima Educação,8.916.400
HAPV3,HAPV3.SA,Hapvida,8.711.500
USIM5,USIM5.SA,Usiminas,8.594.100
BEEF3,BEEF3.SA,Minerva,8.296.900
ASAI3,ASAI3.SA,Assaí,8.259.700
BPAC11,BPAC11.SA,Banco BTG Pactual,7.241.300
AZEV4,AZEV4.SA,Azevedo & Travassos,7.179.400
GMAT3,GMAT3.SA,Grupo Mateus,7.026.400
TIMS3,TIMS3.SA,TIM,6.772.600
AXIA3,AXIA3.SA,Axia Energia,6.630.100
SUZB3,SUZB3.SA,Suzano,6.482.600
PMAM3,PMAM3.SA,Paranapanema,6.382.700
GOAU4,GOAU4.SA,Metalúrgica Gerdau,6.250.400
VBBR3,VBBR3.SA,Vibra Energia,5.796.400
PETR3,PETR3.SA,Petrobras,5.427.500
MBRF3,MBRF3.SA,Marfrig,5.304.900
UGPA3,UGPA3.SA,Ultrapar,5.276.600
CXSE3,CXSE3.SA,Caixa Seguridade,5.248.600
GGBR4,GGBR4.SA,Gerdau,5.141.900
RADL3,RADL3.SA,RaiaDrogasil,5.103.600
BBSE3,BBSE3.SA,BB Seguridade,5.095.700
PRIO3,PRIO3.SA,PetroRio,5.019.500
GFSA3,GFSA3.SA,Gafisa,5.000.800
KLBN11,KLBN11.SA,Klabin,4.968.100
EMBJ3,EMBJ3.SA,Embraer,4.866.100
RAIZ4,RAIZ4.SA,Raízen,4.676.300
MOVI3,MOVI3.SA,Movida,4.667.500
CURY3,CURY3.SA,Cury,4.385.900
RAIL3,RAIL3.SA,Rumo,4.076.500
